1920,0.797588,4.337,0.0190385,0.611112,0.0135729,21,2.41573,0
1852,0.783355,4.356,0.020259,0.558522,0.0108226,20,2.54789,0
1852,0.783355,4.356,0.020259,0.558522,0.0108226,20,2.54789,0
1769,0.782216,4.351,0.021157,0.560527,0.0110003,19,2.66239,0
1769,0.782216,4.351,0.021157,0.560527,0.0110003,19,2.66239,0
1769,0.782216,4.351,0.021157,0.560527,0.0110003,19,2.66239,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1355,0.781561,4.348,0.0275739,0.561141,0.0113098,15,1.92436,0
1258,0.7825,4.351,0.0297675,0.562309,0.0108171,14,1.99183,0
1258,0.7825,4.351,0.0297675,0.562309,0.0108171,14,1.99183,0
1258,0.7825,4.351,0.0297675,0.562309,0.0108171,14,1.99183,0
1252,0.781683,4.346,0.0298252,0.562927,0.0113574,13,2.13847,1
1164,0.79818,4.339,0.0315209,0.613315,0.0129979,12,2.2464,0
1164,0.79818,4.339,0.0315209,0.613315,0.0129979,12,2.2464,0
1135,0.796238,4.342,0.0324389,0.605246,0.0122404,12,2.24857,1
1127,0.796441,4.344,0.0327272,0.603921,0.0117649,12,2.24964,0
1069,0.793764,4.354,0.0348539,0.589344,0.0100474,11,2.43687,0
1066,0.793055,4.352,0.0349212,0.589549,0.010031,11,2.43793,0
988,0.774091,4.369,0.0386121,0.52247,0.00774889,10,2.63473,0
988,0.774091,4.369,0.0386121,0.52247,0.00774889,10,2.63473,0
966,0.774103,4.369,0.0394915,0.522503,0.0077489,10,2.63513,0
917,0.774869,4.371,0.0416374,0.522685,0.00775074,10,2.6311,0
